"ID","AgeMonths","cds.minph","ads.minph"
"W-204",3,11.3967268623025,18.2471783295711
"W-274",3,10.4103749357987,6.47765793528505
"W-340",3,7.75669099756691,14.2676399026764
"W-747",3,19.4024205748865,9.53555219364599
"W-848",3,9.77439024390244,11.1977351916376
"W-955",3,7.29061270376616,12.0697020798201
"W-973",3,8.0448051948052,26.4506493506493
"M-106",5,2.74451273046532,4.31518876207199
"V-S1VL",5,13.8986425339367,12.662443438914
"B-01",6,15.4739217652959,9.88866599799398
"B-15",6,22.0656934306569,3.03493222106361
"B-21",6,12.6529235382309,19.5007496251874
"B-37",6,10.8669096209913,15.6675413022352
"B-32",7,5.6901822457378,28.4626690182246
"B-36",7,12.7575014261266,9.94466628636623
"B-40",7,10.5381062355658,11.1354734411085
"B-02",8,13.4303627407076,8.64845499328258
"B-23",8,7.34847501622323,5.33614536015574
"M-102",8,10.8404133180253,8.46153846153846
"M-105",8,3.96689497716895,12.8047945205479
"B-06",9,9.23125,1.54625
"B-41",9,16.6033295063146,5.1894374282434
"B-45",9,11.0924242424242,5.49545454545455
"B-46",9,6.40775063184499,13.3546756529065
"B-13",10,9.12517780938833,12.0967283072546
"B-18",10,11.6669847328244,6.73187022900763
"B-28",10,9.54862842892768,5.3142144638404
"B-39",10,9.5496,3.9272
"M-107",10,12.3735849056604,8.80251572327044
"B-08",11,13.6310254163015,17.7063978965819
"B-26",11,15.2426229508197,0.285245901639344
"B-43",11,6.44396082698585,11.6332970620239
"B-10",12,10.3955739972337,6.46749654218534
"B-19",12,13.7305757406372,14.4812744550028
"B-38",12,12.7181088314005,2.29081177520071
"B-44",12,6.82984531392175,0
"M-101",12,8.22382671480144,3.42719614921781
"B-09",13,14.1382113821138,1.98193315266486
"B-12",13,14.9010989010989,4.76304945054945
"B-14",13,11.6606683804627,4.55655526992288
"B-29",13,11.927797833935,3.09025270758123
"B-31",13,9.91872427983539,0
"B-04",14,5.23258958755916,2.60243407707911
"B-27",14,18.76735218509,0.505141388174807
"B-30",14,19.9763033175355,1.96682464454976
"B-03",15,6.2331550802139,0.106951871657754
"B-25",15,7.65857142857143,2.59714285714286
"B-33",15,12.4313005143277,1.31961792799412
"B-35",15,10.711743772242,3.20403321470937
"B-16",16,12.9135254988914,3.50443458980044
"B-17",16,19.8070588235294,0
"B-20",16,16.7720820189274,9.44716088328076
"B-22",16,6.50292397660819,10.7824561403509
"B-07",17,12.0395647873393,10.2542037586548
"B-11",17,7.76969092721834,11.3479561316052
"B-34",17,4.52191641182467,0.650356778797146
"B-42",17,9.81050463439753,2.38311019567456
"V-S1MA",17,12.860447761194,2.82462686567164
"M-104",19,14.8794788273616,3.85450597176982
"V-S1RJ",19,13.614201183432,2.64615384615385
"M-103",20,18.6889671361502,0.122065727699531
